City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
gazanjyk,66,TM,1635628399,51,39.2446,55.5154,55.13,8.84
alofi,100,NU,1635628399,74,-19.0595,-169.9187,76.44,16.11
pochutla,49,MX,1635628400,65,15.7432,-96.4661,85.05,7.09
buala,88,SB,1635628169,76,-8.145,159.5921,82.71,9.98
trindade,99,BR,1635628229,85,-16.6494,-49.4889,76.75,9.42
bay roberts,0,CA,1635628400,85,47.5999,-53.2648,44.44,1.01
todos santos,9,MX,1635628401,76,23.45,-110.2167,89.01,10.8
monrovia,100,LR,1635628109,87,6.3005,-10.7969,76.77,5.21
ust-tsilma,100,RU,1635628401,96,65.441,52.1498,22.12,5.08
solec kujawski,0,PL,1635628401,60,53.0837,18.2257,52.88,3.0
akyab,60,MM,1635628402,81,20.15,92.9,78.03,4.25
los llanos de aridane,0,ES,1635628402,75,28.6585,-17.9182,65.95,4.0
kochi,100,IN,1635628402,90,9.9399,76.2602,76.98,3.98
bon accord,0,CA,1635628403,49,53.8335,-113.4187,41.88,14.38
chicama,27,PE,1635628403,66,-7.8447,-79.1469,63.14,9.15
taoudenni,1,ML,1635628403,25,22.6783,-3.9836,87.01,6.82
guerrero negro,0,MX,1635628404,51,27.9769,-114.0611,75.4,11.5
glace bay,75,CA,1635628404,84,46.1969,-59.957,49.59,4.0
bejar,100,ES,1635628404,97,40.3864,-5.7634,54.57,3.4
basco,85,PH,1635628405,69,20.4487,121.9702,80.89,16.06
hirado,1,JP,1635628405,72,33.3597,129.5531,61.36,14.88
muros,100,ES,1635628192,89,42.7762,-9.0603,64.24,12.73
ziro,45,IN,1635628405,87,27.6333,93.8333,45.18,2.44
rocha,100,UY,1635628406,80,-34.4833,-54.3333,70.21,9.53
pontianak,90,ID,1635628406,94,-0.0333,109.3333,78.78,2.3
tevaitoa,8,PF,1635628406,70,-16.7833,-151.5,77.65,16.49
talnakh,100,RU,1635628264,96,69.4865,88.3972,13.21,4.88
nouadhibou,2,MR,1635628257,83,20.931,-17.0347,68.31,18.5
dolores,0,AR,1635628407,65,-36.3132,-57.6792,76.24,10.85
atasu,100,KZ,1635628407,64,48.6814,71.6433,38.48,14.67
lorengau,89,PG,1635628408,79,-2.0226,147.2712,82.44,6.8
guilin,100,CN,1635628353,91,25.2819,110.2864,62.49,2.75
korla,42,CN,1635628408,34,41.7597,86.1469,47.64,1.07
okhotsk,3,RU,1635628347,71,59.3833,143.3,10.49,21.65
saldanha,37,ZA,1635628409,88,-33.0117,17.9442,61.32,11.74
changtu,70,CN,1635628409,67,42.7788,124.0955,39.58,8.86
usinsk,100,RU,1635628409,92,65.9939,57.5281,9.46,8.7
mananjary,89,MG,1635628410,88,-21.2167,48.3333,70.81,6.11
te anau,100,NZ,1635628410,94,-45.4167,167.7167,47.35,4.14
axim,72,GH,1635628411,86,4.8699,-2.2405,78.67,7.81
stolin,28,BY,1635628411,67,51.8912,26.846,47.35,11.88
faanui,15,PF,1635628412,69,-16.4833,-151.75,78.13,16.46
tagusao,52,PH,1635628412,83,9.1924,117.8141,79.48,3.44
afua,78,BR,1635628412,84,-0.1567,-50.3867,79.25,3.67
sambava,79,MG,1635628413,87,-14.2667,50.1667,74.43,7.87
shingu,82,JP,1635628413,81,33.7333,135.9833,60.06,5.82
odesskoye,100,RU,1635628414,97,54.2111,72.9651,34.03,17.34
zemio,65,CF,1635628414,93,5.0314,25.1361,71.01,3.29
san quintin,0,MX,1635628414,69,30.4833,-115.95,69.17,13.09
pecos,1,US,1635628414,10,31.4229,-103.4932,87.89,17.27
gizo,67,SB,1635628415,74,-8.103,156.8419,83.25,6.85
mehriz,3,IR,1635628415,31,31.5917,54.4318,55.9,3.98
cairns,56,AU,1635628415,83,-16.9167,145.7667,78.75,3.44
saint-francois,90,FR,1635628416,77,46.4154,3.9054,58.44,4.61
miguel hidalgo,40,MX,1635628416,21,19.4225,-99.2028,72.81,3.0
eseka,100,CM,1635628416,99,3.65,10.7667,72.37,1.3
mehamn,92,NO,1635628417,76,71.0357,27.8492,38.7,6.33
beatrice,1,US,1635628417,30,40.2681,-96.747,72.45,11.5
tieli,96,CN,1635628417,47,46.95,128.05,32.77,5.64
shinshiro,84,JP,1635628418,78,34.9,137.5,60.17,5.01
boa vista,40,BR,1635628418,43,2.8197,-60.6733,93.18,9.22
ladario,20,BR,1635628418,83,-19.0047,-57.6017,77.29,4.61
arroyo,0,ES,1635628419,84,41.6096,-4.7969,59.18,5.75
palmer,90,US,1635628419,84,42.1584,-72.3287,59.52,1.01
beirut,0,LB,1635628420,60,33.8889,35.4944,72.34,4.61
marathon,1,US,1635628420,65,44.9,-89.7668,61.0,4.61
kismayo,8,SO,1635628420,84,-0.3582,42.5454,78.53,11.5
san carlos de bariloche,0,AR,1635628420,18,-41.1456,-71.3082,64.44,17.27
sterling,75,US,1635628421,78,39.0062,-77.4286,63.41,7.0
fort nelson,7,CA,1635628421,32,58.8053,-122.7002,41.83,3.29
saint-pierre,0,RE,1635628422,78,-21.3393,55.4781,71.24,6.91
puerto quijarro,40,BO,1635628270,31,-17.7833,-57.7667,97.86,4.09
birao,98,CF,1635628422,27,10.2849,22.7882,78.51,1.59
merzifon,0,TR,1635628422,87,40.8733,35.4631,38.66,4.61
salalah,0,OM,1635628423,65,17.0151,54.0924,78.89,4.61
kloulklubed,100,PW,1635628423,78,7.0419,134.2556,79.3,16.98
baglung,84,NP,1635628423,93,28.2719,83.5898,59.9,0.96
alyangula,63,AU,1635628424,78,-13.8483,136.4192,81.0,5.14
angoche,3,MZ,1635628424,73,-16.2325,39.9086,74.59,8.68
vyartsilya,85,RU,1635628424,97,62.1764,30.693,40.33,6.2
cabra,100,ES,1635628425,88,37.4725,-4.4421,67.44,16.08
torbay,0,CA,1635628262,77,47.6666,-52.7314,43.68,8.93
pingzhuang,100,CN,1635628425,95,42.0372,119.2889,35.76,8.57
tahoua,0,NE,1635628425,13,14.8888,5.2692,86.23,8.01
tapejara,100,BR,1635628426,83,-28.0681,-52.0139,67.39,8.68
jasper,1,US,1635628327,45,37.2001,-94.3502,65.01,1.99
tuatapere,100,NZ,1635628426,95,-46.1333,167.6833,49.62,16.4
guiratinga,96,BR,1635628427,46,-16.3494,-53.7583,87.58,3.42
lagoa,100,PT,1635628427,91,39.05,-27.9833,69.46,21.47
ayan,0,RU,1635628427,51,56.45,138.1667,22.26,15.48
cangucu,76,BR,1635628428,78,-31.395,-52.6756,70.81,11.99
nizwa,1,OM,1635628428,31,22.9333,57.5333,75.52,2.44
hirara,30,JP,1635628428,74,24.8,125.2833,75.49,14.18
simplicio mendes,36,BR,1635628429,27,-7.8539,-41.9103,89.02,4.9
dingle,98,PH,1635628429,91,10.9995,122.6711,74.57,8.23
baarle-hertog,90,BE,1635628429,98,51.4041,4.8916,54.27,6.91
ismailia,76,EG,1635628429,73,30.6043,32.2723,71.04,6.96
phonhong,67,LA,1635628430,95,18.5007,102.4166,72.34,1.45
roebourne,0,AU,1635628430,72,-20.7833,117.1333,71.37,3.29
verkhoyansk,53,RU,1635628431,100,67.5447,133.385,-14.31,2.46
rudnichnyy,89,RU,1635628431,99,59.617,52.4703,29.28,3.31
frontignan,98,FR,1635628432,98,43.4485,3.754,66.06,20.36
sept-iles,43,CA,1635628282,88,50.2001,-66.3821,46.06,1.01
isangel,0,VU,1635628432,70,-19.55,169.2667,79.07,4.54
vostok,100,RU,1635628433,83,46.4856,135.8833,32.95,1.16
general roca,100,AR,1635628433,19,-39.0333,-67.5833,70.2,17.38
mahanoro,84,MG,1635628433,87,-19.9,48.8,71.1,4.18
tremedal,98,BR,1635628273,55,-14.9758,-41.4108,79.12,6.87
gat,57,IL,1635628434,61,31.61,34.7642,72.39,2.95
nova gradiska,0,HR,1635628434,81,45.255,17.3831,42.03,1.92
dayong,88,CN,1635628435,87,25.0209,118.2898,70.9,2.39
moyale,88,KE,1635628435,63,3.5167,39.0584,69.28,5.75
matara,62,LK,1635628435,91,5.9485,80.5353,76.33,3.74
tigzirt,86,DZ,1635628436,50,36.8886,4.1198,69.8,8.19
presidencia roque saenz pena,62,AR,1635628436,38,-26.7852,-60.4388,91.47,7.25
pasni,2,PK,1635628436,41,25.2631,63.471,81.54,6.24
rauma,99,FI,1635628437,94,61.1272,21.5113,48.24,6.96
ilulissat,20,GL,1635628437,65,69.2167,-51.1,37.42,16.11
khuzdar,0,PK,1635628437,23,27.7384,66.6434,62.04,9.31
manzhouli,2,CN,1635628438,38,49.6,117.4333,23.56,2.15
coihaique,0,CL,1635628438,21,-45.5752,-72.0662,60.75,13.8
alice town,60,BS,1635628438,62,25.7167,-79.3,80.38,21.63
novobelokatay,100,RU,1635628439,99,55.7062,58.9549,38.21,12.26
kasaragod,100,IN,1635628439,92,12.5,75.0,78.06,4.03
derzhavinsk,100,KZ,1635628439,76,51.1,66.3167,40.96,22.84
split,0,HR,1635628440,76,43.5089,16.4392,55.51,1.14
quatre cocos,38,MU,1635628440,78,-20.2078,57.7625,71.1,7.27
hatillo,72,PR,1635628440,78,18.4863,-66.8254,85.78,1.01
moramanga,100,MG,1635628441,95,-18.9333,48.2,63.03,0.87
yumen,47,CN,1635628441,47,40.2833,97.2,36.95,6.13
grindavik,0,IS,1635628442,93,63.8424,-22.4338,37.87,8.05
norilsk,100,RU,1635628442,96,69.3535,88.2027,13.64,3.24
maputo,100,MZ,1635628443,85,-25.9653,32.5892,64.22,7.0
sabha,3,LY,1635628183,27,27.0377,14.4283,70.45,3.51
yenagoa,100,NG,1635628444,94,4.9247,6.2642,76.95,3.65
saint anthony,1,US,1635628445,54,45.0205,-93.218,61.18,1.01
cihuatlan,0,MX,1635628445,63,19.2366,-104.5651,86.2,6.82
qui nhon,46,VN,1635628183,91,13.7667,109.2333,75.43,6.06
gazojak,94,TM,1635628445,39,41.1875,61.4036,47.98,8.93
hambantota,79,LK,1635628446,84,6.1241,81.1185,78.51,3.11
thaba nchu,0,ZA,1635628446,46,-29.2093,26.839,55.06,5.97
mayskiy,0,RU,1635628447,66,47.6931,40.1025,42.21,6.55
atambua,60,ID,1635628447,82,-9.1061,124.8925,75.58,1.72
puerto el triunfo,86,SV,1635628447,78,13.2833,-88.55,86.16,5.75
pacific grove,40,US,1635628347,84,36.6177,-121.9166,72.57,1.01
upata,99,VE,1635628448,93,8.0086,-62.3989,75.27,3.76
sikonge,97,TZ,1635628448,39,-5.6333,32.7667,78.37,4.12
mount isa,40,AU,1635628450,25,-20.7333,139.5,74.97,12.66
saint-augustin,4,CA,1635628450,57,51.226,-58.6502,45.72,5.32
mackay,4,AU,1635628451,80,-21.15,149.2,80.69,6.08
oltu,100,TR,1635628451,88,40.5498,42.0013,48.18,3.85
aksu,3,CN,1635628451,53,41.1231,80.2644,44.17,0.74
sisimiut,100,GL,1635628452,96,66.9395,-53.6735,35.33,39.62
saint-joseph,75,RE,1635628452,80,-21.3667,55.6167,70.16,2.93
port hedland,40,AU,1635628452,94,-20.3167,118.5667,68.05,6.91
waitati,51,NZ,1635628453,90,-45.75,170.5667,59.81,4.03
surab,0,PK,1635628453,31,28.4914,66.2585,51.67,10.69
avinurme,100,EE,1635628453,87,58.9822,26.8642,44.83,6.67
lakatoro,1,VU,1635628454,70,-16.0999,167.4164,81.46,8.48
ligatne,76,LV,1635628454,83,57.2343,25.0406,48.25,3.0
porto novo,100,BJ,1635628455,85,6.4965,2.6036,79.99,5.88
amahai,94,ID,1635628455,85,-3.3333,128.9167,78.03,3.04
sitka,75,US,1635628325,61,57.0531,-135.33,48.09,12.66
bahir dar,55,ET,1635628455,62,11.5936,37.3908,60.89,4.14
sioux lookout,90,CA,1635628195,87,50.1001,-91.917,44.67,8.05
pisco,0,PE,1635628456,77,-13.7,-76.2167,66.25,9.22
yulara,100,AU,1635628456,94,-25.2406,130.9889,57.04,8.05
evanston,75,US,1635628208,72,42.0411,-87.6901,61.65,4.0
antioquia,81,CO,1635628456,97,7.0,-75.5,57.11,1.86
ligayan,92,PH,1635628457,72,4.6533,119.4706,82.94,3.85
darhan,55,MN,1635628457,46,49.4867,105.9228,30.43,7.87
roald,0,NO,1635628457,76,62.5833,6.1333,53.65,5.75
samarai,99,PG,1635628276,79,-10.6167,150.6667,82.72,13.67
kawalu,100,ID,1635628458,96,-7.3817,108.2082,71.91,0.78
constantine,92,DZ,1635628458,44,36.365,6.6147,63.37,4.52
koindu,97,GN,1635628459,94,8.4386,-10.3253,70.68,0.85
natal,20,BR,1635628459,69,-5.795,-35.2094,81.25,12.66
verkhnyaya toyma,100,RU,1635628460,99,62.2349,44.9985,39.18,4.14
deputatskiy,99,RU,1635628460,98,69.3,139.9,-6.99,5.08
gurupa,97,BR,1635628460,91,-1.405,-51.64,75.34,3.62
paveh,100,IR,1635628461,58,35.0434,46.3565,58.1,9.08
mahibadhoo,74,MV,1635628461,72,3.7833,72.9667,82.47,13.49
santa isabel,100,BR,1635628461,93,-23.3156,-46.2214,69.1,8.77
kyshtovka,100,RU,1635628462,52,56.555,76.6271,27.57,9.19
baruun-urt,20,MN,1635628462,40,46.6806,113.2792,20.8,2.84
calatagan,16,PH,1635628463,76,13.8833,120.65,79.03,16.35
pinawa,79,CA,1635628463,65,50.1489,-95.8811,44.83,12.12
prainha,36,BR,1635628463,71,-1.8,-53.48,81.52,4.38
lyuban,36,BY,1635628464,66,52.7985,28.0048,44.98,11.39
makakilo city,20,US,1635628219,56,21.3469,-158.0858,83.95,4.61
dongsheng,0,CN,1635628464,51,39.8161,109.9776,30.07,9.13
waipawa,9,NZ,1635628318,51,-41.4122,175.5153,61.45,14.65
roma,90,US,1635628203,84,43.2128,-75.4557,56.66,9.22
port arthur,48,CN,1635628465,73,38.8,121.2667,50.22,2.26
sao joao de pirabas,19,BR,1635628465,85,-0.7747,-47.1772,78.64,4.85
maragogi,0,BR,1635628466,73,-9.0122,-35.2225,77.02,10.29
zhuzhou,96,CN,1635628466,81,27.8333,113.15,63.25,2.39
bouna,99,CI,1635628466,66,9.2667,-3.0,80.64,5.46
brae,100,GB,1635628467,94,60.3964,-1.353,48.11,3.78
sidi ali,68,DZ,1635628467,62,36.0998,0.4206,66.33,7.9
kota kinabalu,20,MY,1635628468,94,5.9749,116.0724,76.98,5.75
lagos,100,NG,1635628188,86,6.5833,3.75,79.03,4.99
vao,2,NC,1635628468,74,-22.6667,167.4833,70.9,5.61
miri,73,MY,1635628469,91,4.4148,114.0089,76.71,3.38
hualmay,88,PE,1635628469,73,-11.0964,-77.6139,66.94,7.43
sharjah,0,AE,1635628469,69,25.3573,55.4033,82.38,2.3
sistranda,100,NO,1635628470,80,63.7256,8.834,49.96,24.65
fonte boa,79,BR,1635628470,77,-2.4959,-66.2662,81.32,4.94
petropavlovsk-kamchatskiy,40,RU,1635628470,74,53.0452,158.6483,28.99,4.47
fare,3,PF,1635628471,70,-16.7,-151.0167,78.03,16.96
abu kamal,100,SY,1635628471,34,34.4506,40.9171,76.8,7.4
verona,75,IT,1635628397,93,45.4167,11.0333,55.02,3.44
nautla,19,MX,1635628471,55,20.2167,-96.7833,80.98,10.36
ternat,100,BE,1635628472,95,50.8667,4.1833,53.71,10.27
jacqueville,60,CI,1635628472,83,5.2052,-4.4146,80.51,10.8
port macquarie,100,AU,1635628472,76,-31.4333,152.9167,58.96,8.16
belaya gora,99,RU,1635628473,98,68.5333,146.4167,0.5,3.89
anadyr,100,RU,1635628473,84,64.75,177.4833,1.0,17.0
kualakapuas,74,ID,1635628473,97,-3.0091,114.3876,75.36,2.57
qasigiannguit,100,GL,1635628474,76,68.8193,-51.1922,37.65,12.3
lesozavodsk,100,RU,1635628474,66,45.4794,133.4244,36.73,5.57
cochrane,0,CA,1635628474,46,51.1834,-114.4687,38.21,1.9
general pico,100,AR,1635628475,39,-35.6566,-63.7568,77.76,24.34
makarov,100,RU,1635628475,91,48.6333,142.8,40.35,12.08
bilma,27,NE,1635628475,22,18.6853,12.9164,83.19,19.71
kon tum,45,VN,1635628208,97,14.35,108.0,66.13,2.86
olinda,40,BR,1635628476,61,-8.0089,-34.8553,80.33,9.22
kisesa,77,TZ,1635628476,52,-3.0833,34.15,73.99,10.4
henties bay,0,NA,1635628476,89,-22.116,14.2845,56.86,4.07
vila velha,75,BR,1635628192,94,-20.3297,-40.2925,71.55,11.5
baicheng,100,CN,1635628477,37,45.6167,122.8167,34.38,15.05
havelock,63,US,1635628477,69,34.8791,-76.9013,67.05,1.99
xai-xai,100,MZ,1635628477,90,-25.0519,33.6442,68.9,1.68
udachnyy,100,RU,1635628297,94,66.4167,112.4,19.29,12.08
caravelas,93,BR,1635628344,85,-17.7125,-39.2481,74.17,6.62
morrope,21,PE,1635628478,66,-6.5417,-80.0111,69.91,16.08
anchorage,90,US,1635628398,83,61.2181,-149.9003,46.33,5.99
olafsvik,73,IS,1635628478,90,64.8945,-23.7142,43.29,20.49
fuerte olimpo,97,PY,1635628479,58,-21.0415,-57.8738,84.52,7.67
le vauclin,20,MQ,1635628479,65,14.5452,-60.8388,84.25,13.8
barcelona,20,ES,1635628452,87,41.3888,2.159,67.53,1.01
carutapera,35,BR,1635628479,82,-1.195,-46.02,78.89,5.61
mulchen,100,CL,1635628479,36,-37.7167,-72.2333,73.26,5.84
enshi,90,CN,1635628480,89,30.3,109.4833,57.42,0.38
aasiaat,100,GL,1635628480,96,68.7098,-52.8699,27.28,9.55
kudahuvadhoo,19,MV,1635628480,76,2.6708,72.8944,82.22,15.88
beian,0,NO,1635628481,71,63.6559,9.5683,50.67,19.57
kununurra,95,AU,1635628481,69,-15.7667,128.7333,82.38,8.05
gayny,100,RU,1635628481,92,60.3071,54.3241,33.51,4.43
jocon,100,HN,1635628482,91,15.2833,-86.9667,70.5,2.64
ihosy,53,MG,1635628482,86,-22.4,46.1167,63.95,5.99
hornepayne,8,CA,1635628482,56,49.2138,-84.7705,51.12,2.28
krasnoarmeysk,0,RU,1635628483,77,51.0239,45.6969,43.16,8.5
ambovombe,23,MG,1635628431,80,-25.1667,46.0833,67.53,10.18
mandera,77,KE,1635628483,44,3.9366,41.867,85.6,6.8
katangli,77,RU,1635628483,78,51.7102,143.2326,26.4,9.24
kholm,66,RU,1635628484,91,59.2667,32.85,46.81,9.93
djibo,18,BF,1635628484,15,14.1022,-1.6306,91.85,8.57
college,90,US,1635628484,62,64.8569,-147.8028,41.32,5.75
shahr-e kord,94,IR,1635628485,46,32.3256,50.8644,50.5,2.55
sibolga,100,ID,1635628485,88,1.7427,98.7792,76.44,2.55
tulun,100,RU,1635628485,73,54.5611,100.5792,34.03,2.77
scarborough,9,GB,1635628295,85,54.2797,-0.4044,48.07,8.01
messina,90,IT,1635628486,84,38.1933,15.5497,65.44,1.01
chokurdakh,100,RU,1635628486,97,70.6333,147.9167,1.13,5.77
jinchang,0,CN,1635628487,43,38.4953,102.1739,40.26,3.24
tres picos,23,MX,1635628487,57,15.8667,-93.5333,86.0,2.04
charagua,58,BO,1635628487,48,-19.8,-63.2167,84.24,4.61
haikou,45,CN,1635628488,89,20.0458,110.3417,74.8,11.16
nizhnevartovsk,0,RU,1635628488,92,60.9344,76.5531,10.42,4.47
filadelfia,75,US,1635628208,74,39.9523,-75.1638,66.09,1.01
ceres,1,US,1635628302,67,37.5949,-120.9577,77.18,3.44
navahrudak,11,BY,1635628489,68,53.6,25.8333,46.04,12.68
rudnya,12,RU,1635628489,76,54.947,31.0934,44.38,11.16
karratha,0,AU,1635628489,70,-20.7377,116.8463,72.07,4.85
luganville,6,VU,1635628490,69,-15.5333,167.1667,82.27,7.92
izazi,64,TZ,1635628490,61,-7.2,35.7333,77.18,5.14
sao joao da barra,100,BR,1635628490,89,-21.6403,-41.0511,71.69,12.08
taywarah,4,AF,1635628491,31,33.35,64.4167,36.45,4.36
mayumba,97,GA,1635628491,90,-3.432,10.6554,77.54,7.47
isoka,97,ZM,1635628492,44,-10.1606,32.6335,71.2,3.42
lebowakgomo,47,ZA,1635628492,37,-24.2,29.5,50.45,5.95
dutlwe,0,BW,1635628276,18,-23.9833,23.9,72.16,12.3
marzuq,95,YE,1635628492,56,14.4,46.4667,74.26,3.87
lokoja,40,NG,1635628493,73,7.8024,6.743,78.69,2.19
rockland,84,US,1635628493,83,41.1668,-74.0496,61.65,1.99
iskateley,100,RU,1635628493,91,67.6803,53.1512,17.38,12.37
